# time steps G_alpha PLC Ca
0.000000 0 3 3 3
0.050000 114674 68055 2016 886
0.100000 340532 144715 8412 2042
0.150000 694409 231941 19306 3293
0.200000 1192664 330653 35353 4727
0.250000 1853169 441961 56718 6229
0.300000 2698562 566809 84020 8184
0.350000 3750637 707464 117648 10014
0.400000 5035518 864620 158369 12194
0.450000 6584918 1041077 207008 14956
0.500000 8427678 1237460 264563 17674
0.550000 10599719 1456370 331583 21041
0.600000 13134580 1700335 409614 24722
0.650000 16076395 1970893 498894 28777
0.700000 19466460 2270603 599856 32872
0.750000 23355131 2602805 714041 38806
0.800000 27802662 2969203 844036 43996
0.850000 32863268 3373478 990071 50380
0.900000 38594768 3820786 1153585 57644
0.950000 45074489 4312007 1337709 64880
1.000000 52375107 4854137 1541986 74253
1.050000 60583722 5449352 1771025 83688
1.100000 69782938 6103587 2025830 94990
1.150000 80082850 6822845 2309360 107236
1.200000 91576643 7610796 2622290 121288
1.250000 104394415 8477039 2967622 137257
1.300000 118667584 9426850 3350187 155148
1.350000 134531836 10467662 3772125 175912
1.400000 152135131 11605809 4238596 197683
1.450000 171640890 12852318 4754562 224403
1.500000 193232040 14216034 5323107 252968
1.550000 217106659 15705960 5945933 288465
1.600000 243473559 17334110 6632824 330122
1.650000 272560854 19113231 7388560 375768
1.700000 304631759 21052847 8220315 431106
1.750000 339931608 23164631 9132303 494953
1.800000 378757629 25463135 10133505 574540
1.850000 421419448 27968716 11231168 669959
1.900000 468264761 30690494 12433102 784828
1.950000 519667343 33639520 13752570 935236
2.000000 575968453 36836342 15194344 1124436
2.050000 637565832 40285847 16773746 1372224
2.100000 704887178 43989174 18497797 1712542
2.150000 778277776 47948792 20374729 2189880
2.200000 858114023 52139162 22420082 2888094
2.250000 944635300 56505028 24637962 3956875
2.300000 1037967600 60958367 27034013 5618115
2.350000 1137992244 65304842 29599629 8188506
2.400000 1244302661 69274239 32314676 11949311
2.450000 1356247419 72501920 35148934 16974150
2.500000 1472885273 74599444 38043448 23052066
2.550000 1592996242 75229799 40913441 29578559
2.600000 1714960633 74195679 43669269 35659074
2.650000 1836986306 71542416 46215726 40283507
2.700000 1957191035 67544133 48463550 42530405
2.750000 2073914411 62732114 50366405 41714887
2.800000 2185866927 57787916 51903040 37631296
2.850000 2292423037 53460984 53111113 30541805
2.900000 2393619038 50423353 54048999 21315241
2.950000 2489952573 49144179 54820038 11576531
3.000000 2581286249 49647503 55549040 4458029
3.050000 2667904859 51134370 56320474 2944618
3.100000 2755236924 52822074 57171884 3222185
3.150000 2845218407 54566598 58098614 3693536
3.200000 2938030009 56336164 59109713 4277629
3.250000 3033692795 58098311 60194812 5009999
3.300000 3132141084 59814251 61351271 5907951
3.350000 3233336217 61436803 62572102 7021943
3.400000 3337093211 62876545 63851433 8326330
3.450000 3443191235 64076705 65176532 9816731
3.500000 3551295191 64958195 66529710 11411445
3.550000 3660961695 65468899 67883773 13031190
3.600000 3771733700 65569218 69217104 14475105
3.650000 3883091912 65273567 70512722 15623868
3.700000 3994515500 64631839 71735470 16293090
3.750000 4105519066 63716412 72874157 16368994
3.800000 4215672818 62656237 73926284 15807430
3.850000 4324641525 61582858 74884965 14640487
3.900000 4432244449 60627279 75756384 13049545
3.950000 4538427406 59888839 76547370 11275762
4.000000 4643238717 59397257 77278844 9596719
4.050000 4746884146 59145970 77972391 8265566
4.100000 4849672146 59066265 78636311 7389395
4.150000 4951921468 59078689 79279465 6922741
4.200000 5053955970 59110943 79910898 6701026
