# time steps G_alpha PLC Ca
0.000000 0 3 3 3
0.050000 9 3 3 0
0.100000 12 3 3 1
0.150000 17 3 3 0
0.200000 25 3 3 0
0.250000 28 4 3 0
0.300000 39 6 2 0
0.350000 57 6 2 0
0.400000 65 7 3 0
0.450000 71 7 5 0
0.500000 86 10 5 0
0.550000 97 11 5 0
0.600000 117 12 5 1
0.650000 145 12 4 0
0.700000 170 14 3 0
0.750000 197 19 3 0
0.800000 230 24 3 0
0.850000 272 29 4 0
0.900000 317 30 6 0
0.950000 380 33 6 0
1.000000 436 41 8 2
1.050000 518 47 14 0
1.100000 585 53 15 4
1.150000 673 58 18 2
1.200000 780 71 20 2
1.250000 889 84 23 1
1.300000 1011 93 25 2
1.350000 1174 108 24 3
1.400000 1379 119 30 3
1.450000 1588 141 40 2
1.500000 1846 157 48 6
1.550000 2081 170 55 7
1.600000 2340 183 63 7
1.650000 2658 207 64 6
1.700000 2989 225 72 7
1.750000 3388 249 83 17
1.800000 3825 265 106 37
1.850000 4294 283 107 25
1.900000 4729 300 122 40
1.950000 5220 319 136 72
2.000000 5780 346 159 46
2.050000 6298 369 176 74
2.100000 6917 398 195 111
2.150000 7566 396 215 192
2.200000 8171 383 227 236
2.250000 8786 356 240 239
2.300000 9403 326 247 231
2.350000 9918 306 257 202
2.400000 10468 278 264 209
2.450000 11016 274 272 157
2.500000 11541 257 283 112
2.550000 12037 254 292 34
2.600000 12475 259 291 10
2.650000 12895 273 293 32
2.700000 13354 282 296 43
2.750000 13847 289 300 47
2.800000 14390 287 311 29
2.850000 14877 285 311 22
2.900000 15370 299 319 25
2.950000 15805 312 320 26
3.000000 16326 318 324 35
3.050000 16899 321 330 55
3.100000 17429 328 343 67
3.150000 17964 344 347 116
3.200000 18561 342 353 111
3.250000 19159 354 353 111
3.300000 19788 348 361 124
3.350000 20407 347 369 174
3.400000 20995 335 380 181
3.450000 21544 318 380 165
3.500000 22092 276 389 154
3.550000 22634 260 393 124
3.600000 23146 234 408 101
3.650000 23583 215 402 7
3.700000 23929 209 396 5
3.750000 24305 197 394 3
3.800000 24644 196 395 2
3.850000 25000 190 381 4
3.900000 25329 193 381 4
3.950000 25701 187 378 13
4.000000 26020 162 371 4
4.050000 26317 163 365 6
4.100000 26626 160 360 3
4.150000 26960 169 361 7
4.200000 27267 181 359 10
4.250000 27592 173 357 5
4.300000 27912 175 357 11
4.350000 28278 189 358 6
4.400000 28596 191 351 7
4.450000 28926 186 353 10
4.500000 29253 176 345 7
4.550000 29593 182 344 8
4.600000 29924 166 348 7
4.650000 30270 176 337 8
4.700000 30587 180 328 10
4.750000 30941 179 326 3
4.800000 31213 180 322 4
4.850000 31546 169 313 9
4.900000 31853 167 312 5
4.950000 32179 184 319 3
5.000000 32462 175 315 5
5.050000 32746 172 306 13
5.100000 33073 172 299 1
5.150000 33374 166 308 1
5.200000 33710 169 302 4
5.250000 34038 175 300 6
5.300000 34371 171 292 15
5.350000 34720 167 299 5
5.400000 35024 179 302 8
5.450000 35385 184 302 10
5.500000 35678 189 304 4
5.550000 36031 197 313 4
5.600000 36403 181 309 8
5.650000 36751 193 302 7
5.700000 37178 199 300 20
5.750000 37512 193 306 14
5.800000 37899 198 303 7
5.850000 38267 208 309 5
5.900000 38624 215 305 15
5.950000 39033 232 307 17
6.000000 39425 244 320 18
6.050000 39887 259 328 15
6.100000 40310 264 331 20
6.150000 40726 266 334 11
6.200000 41187 279 330 25
6.250000 41681 287 338 27
6.300000 42151 301 349 22
6.350000 42685 302 358 40
6.400000 43212 308 365 46
6.450000 43777 305 371 68
6.500000 44341 303 375 76
6.550000 44928 320 376 81
6.600000 45493 318 379 71
6.650000 46054 334 393 40
6.700000 46635 342 403 63
6.750000 47256 340 406 71
6.800000 47804 339 409 87
6.850000 48406 333 411 111
6.900000 48973 324 413 107
6.950000 49556 317 413 101
7.000000 50136 295 431 107
7.050000 50672 278 432 49
7.100000 51170 289 431 13
7.150000 51647 281 429 20
7.200000 52145 304 439 31
7.250000 52665 318 445 45
7.300000 53217 334 442 44
7.350000 53785 343 451 82
7.400000 54363 332 449 105
7.450000 54937 308 453 123
7.500000 55493 307 449 116
7.550000 56060 300 454 95
7.600000 56647 312 462 92
7.650000 57177 305 459 74
7.700000 57707 298 462 76
7.750000 58262 291 462 50
7.800000 58751 270 459 35
7.850000 59248 276 449 16
7.900000 59710 280 452 29
7.950000 60231 294 457 37
8.000000 60741 289 457 12
8.050000 61222 273 459 15
8.100000 61755 284 458 50
8.150000 62245 272 449 21
8.200000 62687 266 448 38
8.250000 63132 268 445 16
8.300000 63587 264 446 14
8.350000 64048 255 445 25
8.400000 64551 232 440 24
8.450000 64956 225 432 14
8.500000 65352 213 430 12
8.550000 65752 210 428 13
8.600000 66160 209 426 6
8.650000 66478 216 424 15
8.700000 66855 216 422 16
8.750000 67278 217 405 13
8.800000 67671 199 410 5
8.850000 68050 204 400 15
8.900000 68419 200 396 10
8.950000 68772 201 407 9
9.000000 69134 203 404 4
9.050000 69490 189 402 4
9.100000 69825 195 391 4
9.150000 70211 213 387 10
9.200000 70613 211 386 15
9.250000 70987 212 389 5
9.300000 71387 207 384 15
9.350000 71758 206 379 16
9.400000 72099 214 381 13
9.450000 72438 216 384 19
9.500000 72848 209 394 6
9.550000 73218 209 398 10
